imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,rating,totalVotes,budget2
tt2372222,Kick, Randeep Hooda,Action,India,Hindi,UTV Communications,NOT RATED,146,2014,5.4,story,4.158,6,68,55000000
tt0095488,The Lair of the White Worm, Peter Capaldi,Comedy,UK,English,Vestron Video,R,93,1988,5.9,Screenplay,7.222,5.8,87,1189315
tt0847897,The Stone Angel, Judy Marshak,Drama,"Canada,UK",English,Vivendi Entertainment,R,116,2007,6.3,Novel,2.838,5.7,11,473993
tt1204342,The Muppets, Rashida Jones,Adventure,USA,English,Walt Disney Pictures,PG,103,2011,7.1,characters,11.375,6.6,815,165184237
tt1691917,Planes, Teri Hatcher,Animation,USA,"English,Spanish",Walt Disney Pictures,PG,91,2013,5.7,Original story ,34.399,5.8,860,219788712
tt2097298,"McFarland, USA", Johnny Ortiz,Biography,USA,"English,Spanish",Walt Disney Pictures,PG,129,2015,7.4,Screenplay,25.29,7.3,353,45710059
tt1462769,The Odd Life of Timothy Green, Odeya Rush,Comedy,USA,English,Walt Disney Pictures,PG,105,2012,6.6,Screenplay,24.962,6.7,599,51854875
tt2567026,Alice Through the Looking Glass, Anne Hathaway,Adventure,"USA,UK",English,Walt Disney Pictures,PG,113,2016,6.2,Screenplay,13.491,6.5,3733,299370084
tt1014759,Alice in Wonderland, Anne Hathaway,Adventure,USA,English,Walt Disney Pictures,PG,108,2010,6.5,Screenplay,24.574,6.6,8554,1025491110
tt1661199,Cinderella, Helena Bonham Carter,Drama,"USA,UK",English,Walt Disney Pictures,PG,105,2015,6.9,Screenplay,26.753,6.7,4437,543514353
tt2980706,Planes: Fire & Rescue, Curtis Armstrong,Animation,USA,English,Walt Disney Pictures,PG,83,2014,6,story ,9.5,6,414,151165787
tt2395427,Avengers: Age of Ultron, Chris Evans,Action,USA,English,Walt Disney Pictures,PG-13,141,2015,7.4,Comic,85.677,7.3,13109,1405403694
tt0401729,John Carter, Willem Dafoe,Action,USA,English,Walt Disney Pictures,PG-13,132,2012,6.6,Screenplay,21.738,6.1,3276,284139100
tt1981115,Thor: The Dark World, Anthony Hopkins,Action,USA,English,Walt Disney Pictures,PG-13,112,2013,7,Screenplay,48.516,6.7,9919,644571402
tt0963966,The Sorcerer's Apprentice, Teresa Palmer,Action,USA,English,Walt Disney Studios,PG,109,2010,6.1,Screenplay,13.959,5.9,2820,215283742
tt4341582,Queen of Katwe, Martin Kabanza,Biography,USA,English,Walt Disney Studios,PG,124,2016,7.4,Screenplay,9.01,7.1,222,10367161
tt0061512,Cool Hand Luke, Lou Antonio,Crime,USA,English,Warner Bros.,G,126,1967,8.2,Screenplay,15.355,7.8,630,16217773
tt0327247,The Whole Ten Yards, Kevin Pollak,Comedy,USA,English,Warner Bros.,PG-13,98,2004,5.5,characters,11.898,5.6,453,26155781
tt0800320,Clash of the Titans, Jason Flemyng,Action,USA,English,Warner Bros.,PG-13,106,2010,5.8,Screenplay,16.275,5.7,3650,232713139
tt0903624,The Hobbit: An Unexpected Journey, Ken Stott,Adventure,USA,English,Warner Bros.,PG-13,169,2012,7.9,Screenplay,10.66,7,560,25566770
