imdbID,Title,Actors,Genre,Country,Language,Production,Rated,Runtime,Year,imdbRating,Responsibility,popularity2,totalVotes,budget2
tt3544112,Sing Street, Jack Reynor,Comedy,Ireland,Latin,Likely Story,PG-13,106,2016,8,story,9.931,1185,13624522
tt0160484,Lost Souls, Philip Baker Hall,Drama,USA,English,New Line Cinema,R,97,2000,4.8,story,5.574,70,31355910
tt2091256,Captain Underpants: The First Epic Movie, Thomas Middleditch,Animation,India,English,20th Century Fox,PG,89,2017,4.6,screenplay,12.349,572,125289450
tt0099991,The Last of the Finest, Bill Paxton,Action,USA,English,Orion Home Video,R,106,1990,5.6,story,4.018,9,1531489
tt0105824,Wind, Jack Thompson,Action,Japan,English,Sony Pictures Entertainment,PG-13,126,1992,6.5,story,2.498,11,5519569
tt0430922,Role Models, Bobb'e J. Thompson,Comedy,Germany,English,Universal Pictures,R,99,2008,6.9,story,75.66,894,92380927
tt0372183,The Bourne Supremacy, Julia Stiles,Action,Germany,German,Universal Pictures,PG-13,108,2004,7.8,novel,17.464,4300,288500217
tt1921064,Pompeii, Adewale Akinnuoye-Agbaje,Action,Canada,English,Sony Pictures,PG-13,105,2014,5.5,screenplay,62.5,2037,117831631
tt0220506,Halloween: Resurrection, Bianca Kajlich,Comedy,USA,English,Dimension Films,R,94,2002,4.1,characters,67.55,477,37664855
tt0108395,A Troll in Central Park, Jonathan Pryce,Animation,Ireland,English,Warner Bros.,G,76,1994,5.4,screenplay,7.393,66,71368
tt0441773,Kung Fu Panda, Ian McShane,Animation,USA,English,Paramount Pictures,PG,92,2008,7.6,screenplay,23.017,5993,631744560
tt0044030,Show Boat, Joe E. Brown,Drama,USA,English,MGM,APPROVED,108,1951,7,screenplay,4.157,30,11000000
tt0112864,Die Hard with a Vengeance, Graham Greene,Action,USA,English,Twentieth Century Fox Home Entertainment,R,128,1995,7.6,characters,18.485,3210,366101666
tt0077572,Force 10 from Navarone, Edward Fox,Action,UK,Croatian,Columbia Pictures,PG,118,1978,3.6,novel,42.47,139,7230000
tt1826590,About Last Night, Joy Bryant,Comedy,USA,English,Sony Pictures,R,100,2014,6.1,screenplay,6.296,306,49002684
tt1976009,Victor Frankenstein, James McAvoy,Drama,Canada,English,20th Century Fox,PG-13,110,2015,6,screenplay,8.903,1180,34227298
tt1068646,The Class, Arthur Fogel,Drama,France,French,Sony Pictures Classics,PG-13,128,2008,7.5,scenario,5.623,305,28814580
tt0100944,The Witches, Rowan Atkinson,Adventure,UK,English,Warner Bros.,PG,91,1990,6.8,book,8.373,406,15360553
tt0800320,Clash of the Titans, Jason Flemyng,Action,USA,English,Warner Bros.,PG-13,106,2010,5.8,screenplay,16.275,3650,232713139
tt0109506,The Crow, Michael Wincott,Action,USA,English,Lionsgate ,R,102,1994,7.6,comic ,12.974,1770,94000000
tt0102782,Return to the Blue Lagoon, Courtney Barilla,Adventure,USA,English,Sony Pictures Entertainment,PG-13,102,1991,5.1,book,68.99,323,2807854
tt3659388,The Martian, Jeff Daniels,Adventure,China,Mandarin,20th Century Fox,PG-13,144,2015,8,screenplay,26.137,12011,630161890
tt0924129,Crossing Over, Jim Sturgess,Crime,USA,English,The Weinstein Co.,R,113,2009,6.8,screenplay,9.233,168,1037335
tt1430626,The Pirates! Band of Misfits, David Tennant,Animation,UK,English,Sony Pictures,PG,88,2012,6.7,book,12.295,563,118338361
tt0105219,Rapid Fire, Raymond J. Barry,Action,USA,English,Twentieth Century Fox Home Entertainment,R,95,1992,6.3,story,57.88,70,14356479
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull, Shia LaBeouf,Action,USA,English,Paramount Pictures,PG-13,122,2008,6.2,screenplay,20.439,4369,786636033
tt0810819,The Danish Girl, Adrian Schiller,Biography,Belgium,German,Focus Features,R,119,2015,7.1,book,10.645,3592,64191523
tt0120032,Romy and Michele's High School Reunion, Alan Cumming,Comedy,USA,English,Touchstone Pictures,R,92,1997,6.2,play,27.167,251,29235353
tt0094964,Dead Ringers, Barbara Gordon,Drama,USA,English,Media Home Entertainment,R,116,1988,7.3,book,10.221,331,8038508
tt1876451,Sparkle, Mike Epps,Drama,USA,English,Sony Pictures,PG-13,116,2012,5.7,screenplay,3.379,52,24637469
tt0101414,Beauty and the Beast, Angela Lansbury,Animation,France,French,Buena Vista,G,84,1991,8,screenplay,23.184,5607,377350553
tt2527336,Star Wars: The Last Jedi, Daisy Ridley,Action,USA,English,Walt Disney Pictures,PG-13,152,2017,7.4,characters,33.091,8362,1332459537
tt0102004,The Hard Way, Annabella Sciorra,Action,USA,English,MCA Universal Home Video,R,111,1991,6.3,story,11.432,177,65595485
tt0970468,Miss Pettigrew Lives for a Day, Christina Cole,Comedy,UK,English,Focus Features,PG-13,92,2008,7.1,screenplay,8.36,172,16724933
